vegetable,sow_type,harvest_days,plant_spacing,seed_depth,sow_window_start,sow_window_end,transplant_window_start,transplant_window_end,harvest_window_start,harvest_window_end,vegetable_picture_url
Peppers,Transplant,70,12,0.25,2199-12-12,2199-12-12,2023-04-15,2023-07-25,2023-06-25,2023-11-05,https://image.shutterstock.com/image-photo/chilipepper-hot-pepper-korean-pepperred-600w-681869419.jpg
Potatoes,Direct,80,10,4,2023-03-15,2023-05-25,2199-12-12,2199-12-12,2023-05-25,2023-10-25,https://image.shutterstock.com/image-photo/fresh-organic-potatoes-field-600w-1025684044.jpg
Pumpkins,Direct,80,24,0.5,2023-04-25,2023-07-05,2199-12-12,2199-12-12,2023-07-15,2023-11-05,https://image.shutterstock.com/image-photo/pumpkin-growing-vegetable-garden-autumn-600w-1182328114.jpg
Radish,Direct,40,1,0.5,2023-02-25,2023-05-05,2199-12-12,2199-12-12,2023-04-05,2023-06-05,https://image.shutterstock.com/image-photo/freshly-harvested-purple-colorful-radish-600w-643139416.jpg
Rutabaga,Direct,80,3,0.5,2023-07-25,2023-08-25,2199-12-12,2199-12-12,2023-10-15,2023-12-31,https://image.shutterstock.com/image-photo/close-rutabaga-rain-brassica-napobrassica-600w-1654065742.jpg
Southern Pea,Direct,70,3,0.75,2023-05-05,2023-08-05,2199-12-12,2199-12-12,2023-07-15,2023-11-05,https://image.shutterstock.com/image-photo/pea-plant-full-field-peas-600w-2122029647.jpg
Spinach,Direct,40,4,0.5,2023-02-25,2023-04-15,2199-12-12,2199-12-12,2023-04-05,2023-06-05,https://image.shutterstock.com/image-photo/rows-green-spinach-on-field-600w-1784260031.jpg
Summer Squash,Direct,40,18,2,2023-04-15,2023-08-25,2199-12-12,2199-12-12,2023-05-25,2023-10-25,https://image.shutterstock.com/image-photo/summer-squash-growing-garden-600w-1809371962.jpg
Winter Squash,Direct,90,24,1,2023-04-05,2023-07-05,2199-12-12,2199-12-12,2023-07-05,2023-10-25,https://image.shutterstock.com/image-photo/winter-squash-collection-autumn-decoration-600w-469502444.jpg
Sweet Corn,Direct,70,6,2,2023-04-05,2023-07-25,2199-12-12,2199-12-12,2023-06-15,2023-10-25,https://image.shutterstock.com/image-photo/ripe-corn-field-farmland-wait-600w-497906839.jpg
Sweet Potato,Direct,80,9,3,2023-04-25,2023-07-15,2199-12-12,2199-12-12,2023-08-15,2023-10-25,https://image.shutterstock.com/image-photo/dug-bush-sweet-potato-shovel-600w-1195545163.jpg
Tomatoes,Transplant,60,18,0.25,2199-12-12,2199-12-12,2023-04-15,2023-07-25,2023-06-15,2023-10-25,https://image.shutterstock.com/image-photo/ripe-organic-tomatoes-garden-ready-600w-591110372.jpg
Turnips,Direct,60,2,0.5,2023-03-05,2023-04-25,2199-12-12,2199-12-12,2023-05-05,2023-06-15,https://image.shutterstock.com/image-photo/turnips-basket-600w-1138898837.jpg
Watermelom,Direct,70,36,0.5,2023-04-25,2023-07-15,2199-12-12,2199-12-12,2023-07-05,2023-10-25,https://image.shutterstock.com/image-photo/sliced-watermelon-on-wooden-nature-600w-1667459722.jpg
